Geographic Area Name,Estimate!!Households!!Total,Margin of Error!!Households!!Total,"Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more",Estimate!!Households!!Median income (dollars),Margin of Error!!Households!!Median income (dollars),Estimate!!Households!!Mean income (dollars),Margin of Error!!Households!!Mean income (dollars)
"Hancock County, Iowa",4787,127,6.6,2.2,4.7,1.7,6.6,1.2,6.7,1.7,12.3,2.1,22.7,3.3,20.5,3.6,13.6,2.5,3,1.2,3,1.3,61957,2562,71449,3970
"Hardin County, Iowa",7185,194,6.6,1.5,4.2,1.3,12.4,2,10.7,1.6,10.9,1.7,21.9,2.6,14.8,2,14.1,2,2.3,0.7,2.1,0.7,54930,3307,64787,2749
"Harrison County, Iowa",6094,154,4.4,1.1,4.4,1.1,9.9,1.8,7.3,1.4,12,1.9,20.6,2.3,16.2,2,18,2.3,3.6,0.8,3.7,1.1,64154,2780,78013,4171
"Henry County, Iowa",7591,200,4.7,1.5,4,1.4,8.2,1.7,12.4,2.4,15,2,20.8,2.5,14.9,2.4,14.7,1.9,3.4,1.7,1.8,0.7,54490,3833,67720,3769
"Howard County, Iowa",3754,175,2.5,1.2,5,2.1,9.1,2.3,8,2.4,17,3.4,25.2,3.6,13.7,2.5,12.9,2.7,4.8,1.5,1.9,0.9,56709,3693,68468,3847
"Humboldt County, Iowa",4195,133,7.1,2.3,4.4,1.3,8.9,2.4,10.5,2.2,13.1,2.5,20.9,3.3,12.3,2.4,16.4,2.5,2.7,1,3.6,1.4,55707,3069,68611,4621
"Ida County, Iowa",2972,117,7.4,2.7,4.1,1.3,9.1,2.3,9.6,2.7,16.6,3.6,16.5,3.1,16.4,3.5,12.4,2.2,4.5,1.3,3.4,1,54219,6425,72389,6119
"Iowa County, Iowa",6646,172,3.3,1,3.9,1.3,7.5,1.8,7.9,2,13.5,2.1,22.2,2.9,15.4,2.5,16.7,2.6,6.2,1.8,3.5,1.3,62660,4742,82292,7542
"Jackson County, Iowa",8183,234,5.7,1.3,4.4,1.1,10.3,1.8,9.5,1.9,13.3,1.9,17.8,2.4,14.4,1.9,14.5,2.1,7.1,2.1,3,0.9,59042,4591,72161,3408
"Jasper County, Iowa",14644,361,4.7,1.2,3.6,1,8.7,1.8,10.1,1.7,13.8,1.5,21.6,2.3,12.7,1.4,17,1.7,4.2,1.1,3.6,0.8,59481,2666,73468,2602
"Jefferson County, Iowa",6855,254,8.2,2.7,6.1,2.5,10.4,2.6,11.5,2.8,15.6,3.2,19.1,3.3,11.6,2.5,12.3,2.6,1.4,0.9,3.9,1.4,47401,5786,69644,7746
"Johnson County, Iowa",60430,766,9.4,0.9,3.5,0.5,8.9,1.1,8.3,0.9,11.3,1,15.7,1.1,11.8,1.2,16.3,1.1,6.9,0.7,7.9,0.7,63062,2139,87900,2620
"Jones County, Iowa",8186,235,4.3,1.7,4,1.3,7.5,1.6,11.8,2.6,14.8,2.6,17.7,2.2,18.4,2.2,13.4,1.7,4.1,1.4,4,1.2,57134,3878,72394,4018
"Keokuk County, Iowa",4330,100,5.3,1.3,5.6,1.5,12.5,2.3,10.2,1.8,14.9,2.4,18.4,2.2,13.1,2.1,12.3,2,4.7,1.6,3.1,1.1,52012,3890,69963,4696
"Kossuth County, Iowa",6575,176,4.6,1.3,6.5,1.8,10.6,1.9,8.2,1.4,14.8,2.1,20.2,2.6,15.1,2,13.6,1.9,3.3,0.9,3,0.9,56156,2881,69106,3349
"Lee County, Iowa",14338,305,5.2,1,4.6,0.9,11.2,1.7,11.6,1.7,15.4,2.1,21.7,2.3,13,1.5,11.7,1.6,3.7,1,2.1,0.6,52072,2250,65540,2954
"Linn County, Iowa",91304,661,3.9,0.5,3.2,0.4,7.4,0.7,8.4,0.7,13.5,0.9,18.7,1,15,0.9,16.2,0.8,7.4,0.6,6.5,0.6,67301,1701,88617,2410
"Louisa County, Iowa",4343,160,4,1.4,5.4,2.1,8.4,1.9,9.2,1.8,13.9,2.4,19.2,2.9,16.9,2.9,14.4,2.4,4.6,1.4,4.1,1.7,63034,4390,77339,5761
"Lucas County, Iowa",3718,113,5.4,2.6,8.4,2.9,8.8,2.4,11.1,2.3,11,2,20.4,3.2,15.9,3.6,11.1,2,5.1,1.6,2.7,1.4,53967,5884,70644,8597
"Lyon County, Iowa",4593,108,2.1,0.7,2.4,0.8,8.2,1.8,8.7,2,14.6,2.7,22.3,3.1,17.8,2.9,16.3,2.1,5.4,1.9,2,0.8,65959,3454,75679,3314
"Madison County, Iowa",6619,162,1.3,0.8,2.3,1.6,12.9,2.8,4.4,1.6,13.2,3.1,18,3.2,14.2,2.9,19.7,3,7.2,1.6,6.9,1.9,71811,5066,92057,6147
"Mahaska County, Iowa",8947,192,4.3,1.3,8.4,2,10.5,1.8,8.5,1.5,11.7,1.6,20.1,2.6,16,2.1,15.3,2.3,2.8,0.8,2.3,0.8,56417,3870,69459,4394
"Marion County, Iowa",13532,217,5,1.1,3.6,0.9,7.4,1.7,7.4,1.3,12.9,1.9,21.3,2,14.4,1.8,17.9,2.4,4.8,1.3,5.4,1.2,64136,2564,82994,5154
"Marshall County, Iowa",15388,302,5.2,1.5,4.1,1,9,1.8,10.2,1.7,12.8,1.9,21.7,2.6,14.3,1.9,16,1.9,4.1,0.9,2.5,0.7,58735,3536,71134,2891
"Mills County, Iowa",5442,154,3.3,1.7,3.1,1.4,7.4,1.9,6.3,1.8,10.1,2.2,19.7,2.9,16.4,3,19.5,3,7.5,1.9,6.7,1.9,75137,3855,93017,5943
"Mitchell County, Iowa",4472,150,4.4,1.8,2.5,0.9,11.8,2.8,8.3,2,14.8,2.8,20.8,2.8,14,2.8,15.7,3.4,5.1,2.1,2.5,1.3,60260,5593,72748,5165
"Monona County, Iowa",3988,171,5.1,1.7,7.3,2.2,10.2,2.1,10.5,2.4,14.1,2.5,20.4,2.6,12.5,2.3,13.8,2.2,2.8,1,3.1,1,51866,2737,65714,3732
"Monroe County, Iowa",3243,166,7.2,3,6.1,2.3,6.3,2,7.4,2.8,14,3.6,18.9,3.6,15.2,3.6,20.8,4.6,1.5,1.3,2.7,2,59489,10746,71669,7598
"Montgomery County, Iowa",4479,198,4.7,1.8,4.8,1.7,12.2,3.4,10.3,2.5,11.1,2.4,22.4,3.4,11.8,2.1,16.7,2.8,2.1,0.9,3.9,1.6,55761,3045,78400,12931
"Muscatine County, Iowa",16543,327,4.4,1.2,3.5,0.7,7.9,1.5,9.5,1.7,14.8,2,19.2,2,15.5,2,16.3,1.7,5.5,1.2,3.3,1,60435,3574,78068,4026
"O'Brien County, Iowa",5976,190,5.1,1.9,2.8,0.9,11.9,2.2,10.9,2.3,12.5,2.3,18.3,2.7,19.2,3.2,12.7,2.2,3.6,1.3,3.1,1.1,57200,5233,71284,4194
"Osceola County, Iowa",2664,92,4.7,1.9,3.2,1.3,6.9,1.9,8.4,2.4,16.1,3.4,27.6,4.7,13.6,3,13.4,2.8,3.5,1.2,2.8,1,61167,5550,70165,4257
"Page County, Iowa",6414,255,5.5,1.5,6,1.6,11.6,2.4,10.7,2,14.8,2.3,21.7,2.3,12.5,2.1,11.3,1.9,4.2,1.3,1.7,0.7,51196,2328,63487,3296
"Palo Alto County, Iowa",3712,152,2.7,0.9,5.8,2,10.2,2.2,11.2,2.5,13.6,2.9,19.6,2.7,15.5,2.8,15,2.6,3.3,1.3,3.3,1.4,56437,3705,70434,3903
"Plymouth County, Iowa",10298,192,2.4,0.7,4.4,1.6,7.2,1.4,6.7,1.4,12.8,2.1,19.1,2.1,17.1,2.4,19.5,2.1,5.8,1.3,5.1,0.9,71147,3210,86161,4011
"Pocahontas County, Iowa",3127,131,3.8,1.2,5.1,1.7,11.2,2.1,11.6,2.9,13.9,2.9,20.7,3.3,14.7,2.8,13.4,2.3,2.8,1,2.7,1,53573,3339,66612,3345
"Polk County, Iowa",191125,1070,3.7,0.3,3.3,0.3,6.8,0.4,8.8,0.6,12.5,0.6,18.8,0.8,14.1,0.7,17.9,0.8,7.5,0.5,6.7,0.4,69747,1046,89908,1361
"Pottawattamie County, Iowa",36875,346,5.2,0.7,4.9,0.7,8.6,1.3,10.7,1.1,12.3,1.1,19.6,1.5,14.2,1.2,15.3,1.2,5.3,0.7,3.9,0.5,59901,2070,75226,2069
"Poweshiek County, Iowa",7827,258,5.6,1.8,5.8,1.8,9.9,2.2,8.9,2.2,14.6,2.5,18.2,2.6,12.5,2.1,13.4,2.1,4.4,1.2,6.8,1.7,53925,2277,79436,5948
"Ringgold County, Iowa",1843,110,3,1.4,5,1.8,12.6,3,11.7,3.5,13.6,2.3,17.1,3.2,16.2,3.8,13,3,4.1,1.5,3.7,1.8,55970,4370,70213,5148
"Sac County, Iowa",4344,130,3.2,1,5.1,1.5,10.9,1.9,7,1.5,17.2,2.2,20.8,2.5,14.5,2.2,12.7,2.1,5.1,1.4,3.5,1.1,57446,2978,73560,4070
"Scott County, Iowa",67437,711,5.7,0.6,3.5,0.5,8.2,0.7,8.6,0.7,13,1.1,18.3,1,13.2,0.9,16.5,1,6.4,0.6,6.5,0.6,63876,1619,85784,2025
"Shelby County, Iowa",5066,187,5.7,1.8,4,1.2,8.8,2.8,10.1,2.5,14.7,2.8,15.8,2.2,13.9,2.2,15.9,2.9,5.5,1.9,5.6,1.5,60139,6735,79943,4796
"Sioux County, Iowa",12379,207,2.4,0.8,2.8,0.9,8,2.3,6.5,1.3,11.4,2,20.3,2.4,21.5,2.4,17,2.1,5.1,1.2,5,1.2,73260,3339,85071,3386
"Story County, Iowa",37997,607,9.2,1.4,5,1.1,8.6,1,8.8,1.2,11.9,1.3,18.1,1.5,11.4,1.1,16.2,1.1,5.5,0.7,5.4,0.8,58302,2779,77755,3153
"Tama County, Iowa",6736,173,5.8,1.1,5.4,1.5,9.9,1.8,10,1.5,13.4,1.6,20.3,2.6,15.2,1.7,13.3,2.1,4.2,1,2.6,0.7,54749,3285,70159,3997
"Taylor County, Iowa",2567,73,3.4,1.3,3.7,1,10.1,2.2,11.8,2.4,15.2,2.8,18.8,2.6,15.2,2.9,13.1,2.9,4.5,1.7,4.1,1.7,57768,5241,75550,6736
"Union County, Iowa",5199,196,4.1,1.6,6.5,2.3,16,2.8,10.7,2.3,12.4,2.5,17.6,3.2,13.9,3,12.7,2.4,4.1,1.7,2.1,0.8,50375,4030,63794,4345
"Van Buren County, Iowa",2969,138,7.1,2.2,4.6,1.6,11,2.3,13.1,2.7,14.2,2.6,20.9,3,13.5,2.5,10.3,2.6,2.3,0.9,2.8,1.4,49898,1902,66892,7455
"Wapello County, Iowa",14404,294,6.9,1.5,6.1,1.3,12.4,1.9,11,1.6,16.8,2.3,19.2,2.4,10.2,1.3,12.1,1.5,3.6,0.9,1.6,0.5,46433,3029,60752,2901
"Warren County, Iowa",19320,305,3.9,0.9,4,1.3,6.4,1.1,5.8,0.8,9.1,1.4,16.9,1.7,17.9,1.6,21.1,1.7,8.6,1.4,6.2,0.9,80309,2158,91750,2799
"Washington County, Iowa",8876,180,3.3,1.1,2.7,0.9,6.8,1.6,8.8,1.9,16,2,21.6,2.4,16.9,2.4,17.1,2.4,3.7,0.9,3.2,1.1,63532,3509,74704,3145
"Wayne County, Iowa",2620,103,4.8,1.6,5.4,1.3,10.6,2,12.6,2.5,18.8,2.6,22.1,2.9,10.6,2.6,10.2,2.3,3.2,1.4,1.7,0.8,47543,2906,63287,6212
"Webster County, Iowa",15605,296,8,1.7,4.7,1.1,12.4,1.6,11.5,1.9,11.5,1.6,21,2.2,12.4,1.8,12.4,1.7,3.8,0.9,2.4,0.6,51909,2902,65110,2913
"Winnebago County, Iowa",4533,155,4.4,1.6,3.8,1.9,10.1,2.6,11.7,2.5,18.2,3,16.8,2.9,15.4,3.1,14.5,2.5,3.5,1.4,1.7,0.8,51581,3291,66585,3763
"Winneshiek County, Iowa",8265,170,4.8,1.6,3.6,1.2,8.6,1.7,10.7,2,10.9,2,21.4,2.4,16.3,1.9,15.3,2.3,4.2,0.8,4.2,1.4,63162,3839,77515,4812
"Woodbury County, Iowa",39523,495,5.6,1,4,0.9,9.9,1,9.6,1,11.8,1.3,18.6,1.3,15.3,1.3,16.6,1.6,4.7,0.8,3.9,0.8,60768,1628,74941,2436
"Worth County, Iowa",3199,106,3.1,1,3.2,1.3,9.9,2.5,9.1,2,15.2,2.3,18,3,17.8,2.7,14.2,2,5.5,1.8,4,1.4,60442,3869,75168,3933
"Wright County, Iowa",5582,184,4,1.5,3.8,1.2,11.5,2.2,13,2.4,16.6,2.9,22.3,3.1,11.6,2.7,12.2,2,3,1.3,2.1,0.8,51221,4707,65039,4128
"Allen County, Kansas",5125,213,6.5,2.3,6.6,1.7,11.5,2.6,13,2.3,14,2.6,22.1,3.6,14,2.8,8.6,1.9,2.5,1.8,1.2,0.7,47983,4671,55965,3596
"Anderson County, Kansas",3154,152,5.3,2.3,7.4,2.8,16,4,10.7,3.2,6.9,2.6,23,4.9,11.6,3.3,12.8,3.5,2.9,2,3.4,1.9,52995,4846,65454,6300
"Atchison County, Kansas",6039,241,6.6,2.7,5,1.9,10.7,2.3,8.8,2.3,18.6,3.2,17,2.6,13.6,2.9,15,2.8,2.3,0.9,2.4,1.1,50683,5302,63366,3657
"Barber County, Kansas",1931,129,5.3,2.4,9,3.1,11.1,2.7,7.2,2.6,17.7,4.1,19.5,3.6,10.4,3,13.3,3.6,3.5,1.7,3,1.5,49668,4445,67418,6451
"Barton County, Kansas",10628,304,5,1.3,4.8,1.2,14.6,2.4,11.8,2,15.2,2.2,18.9,2.7,11.8,1.9,11.8,1.8,4.1,1.2,2,0.7,48863,2616,63924,3536
"Bourbon County, Kansas",5921,187,6.5,2,6,1.7,14.5,3,11.1,2,14.3,2.5,20.1,3.6,13.7,2.7,9.8,2.3,2.8,1.1,1.1,0.9,46369,5334,58076,5239
"Brown County, Kansas",3757,139,5.9,1.7,3.5,1,8.7,1.9,13.8,2.3,17.7,2.9,20.7,3,13.6,2.6,11,2,3.3,1.4,1.9,0.7,50649,4202,62725,3529
"Butler County, Kansas",24833,386,4.9,1.4,5.2,1.4,7.3,1.1,8.7,1.2,11.9,1.2,17.4,1.5,15.5,1.5,19.3,1.8,5.7,0.9,4.1,1,66405,2918,81950,4325
"Chase County, Kansas",1082,74,4.8,2.2,4.8,2,13.3,3.7,12.4,3.4,15.3,3.4,21.4,4.2,11.4,3.4,12.8,3.6,0.7,0.8,3,2.7,48906,9140,69874,13772
"Chautauqua County, Kansas",1418,96,7.8,2.7,4.7,2.1,18.5,4.4,12.8,3.5,17.6,4,19.3,3.7,10.4,3,4.3,1.8,1.8,1.1,2.8,1.6,39500,5349,53208,5414
"Cherokee County, Kansas",7954,233,7,2.1,7.3,2.4,13.4,2.2,13.5,2.2,15.6,2.4,17.5,3.1,12.5,2.5,9.4,1.9,2.8,1,1,0.6,41936,3846,54618,2941
"Cheyenne County, Kansas",1263,76,7.5,3.7,8.5,3.4,13.1,4,12.8,3.9,13.3,3.4,20.3,4.3,7.4,2.9,10.7,3.5,2.5,1.4,3.9,2,42802,7146,57896,5363
"Clark County, Kansas",890,61,5.8,3.5,2.8,1.6,11.5,3.4,7.6,3.1,19.4,5.2,20.6,5,15.1,4.3,9.1,2.8,5.1,3,3,2.5,52500,6135,65561,6676
"Clay County, Kansas",3741,114,9.1,3.3,5.6,2.6,8.1,2.9,12.2,4,15.5,3.8,23.4,4.6,10.3,2.7,8.6,2.6,4.1,1.9,3.1,1.9,47880,9515,62390,5586
"Cloud County, Kansas",3641,178,6.5,2.7,2.9,1.4,10.3,2.9,11.5,2.7,19.8,3.8,23.3,4.5,11.7,2.9,9.9,2.2,2.6,1,1.5,1,48295,6566,60907,4490
"Coffey County, Kansas",3648,126,3.9,1.6,5.5,1.5,8.6,2.2,11.4,3.1,12.4,2.5,17.3,2.4,12.8,2,19.4,3.1,5.1,1.8,3.5,1.3,59405,3838,75210,4875
"Comanche County, Kansas",818,95,5.4,2.4,3.8,2.7,14.1,5.5,8.4,3.7,19.4,6.2,20.5,6.7,14.2,4.5,9.3,4,3.4,2.3,1.5,1.5,48125,12380,61329,5999
"Cowley County, Kansas",13800,308,6.9,1.6,4.6,0.9,12,1.7,9.8,1.6,15.8,2.2,19.6,2.3,14,2,12.5,1.6,2.7,0.8,2.2,0.7,50786,2035,65630,4144
"Crawford County, Kansas",15603,324,8.6,1.6,8.4,1.7,13.7,1.9,11.6,1.7,15.6,1.9,15,1.7,11.6,1.6,11,1.4,2.1,0.6,2.4,0.8,42615,1948,57109,2548
"Decatur County, Kansas",1414,78,7.4,2.8,7.5,3.7,14.7,4.3,11,3,13.6,4,22.8,5.2,9.5,4,10.9,3.9,0.9,1.2,1.8,1.8,44125,8480,55912,7145
"Dickinson County, Kansas",7933,246,4.9,1.7,5.3,1.5,12.8,2.6,10.4,2,13.5,1.9,21.4,2.7,12.6,2.2,12.3,2.1,3,0.9,3.9,1.4,53864,3260,71774,5533
"Doniphan County, Kansas",3003,121,6.4,2,3.4,1.1,16.5,3.8,12.1,3,10.4,2.4,18.2,3,13,3,14.1,2.7,3.2,1.7,2.8,1.1,51953,5140,64708,4175
"Douglas County, Kansas",47972,503,7.2,1.1,4,0.8,9,1,8.1,1.1,13.5,1.3,17.6,1.7,12.3,1.2,14.9,1.2,7,0.9,6.3,0.9,61020,2649,81550,2075
"Edwards County, Kansas",1285,60,5.1,2.4,4.6,2.1,8.8,2.7,14.1,3.1,17.4,4,24.4,4.6,13.5,3.5,7.4,2.3,1.5,1,3.3,2,50028,2826,60057,5264
"Elk County, Kansas",1150,81,8.5,3.4,6.2,2.5,13.6,3.6,10.9,3.2,16.2,3.5,18.4,4.3,11.1,2.9,12,3.6,1,0.8,2.1,1.2,42564,3119,56990,4946
"Ellis County, Kansas",11686,383,5.9,1.6,6.5,1.9,10.3,2.4,9.5,1.8,12.5,2.2,16.7,2.5,15.4,2.1,16.3,2.2,4,1.3,2.9,1,57053,5321,73466,6477
"Ellsworth County, Kansas",2390,171,4.6,1.4,3.8,1.5,9.2,2.3,12.5,3,12.7,2.5,20.3,3.8,13.7,2.4,18.2,4.2,4.2,1.8,0.9,0.7,56306,3442,67317,4651
"Finney County, Kansas",12494,251,6.5,1.5,3.8,1.2,6.2,1.6,6.1,1.3,17.7,2.4,19.7,2.6,16.5,2,17,2.2,4.1,1,2.3,0.8,60498,5184,71523,2514
"Ford County, Kansas",11237,278,3.2,1.2,2.5,1,9.6,2,12.9,2.2,17.6,2.9,20.2,2.8,13.6,2.2,11.9,2.3,5.4,1.7,3.3,1.1,53743,2981,71442,3398
"Franklin County, Kansas",10190,280,7.4,1.9,4.7,1.5,7.7,1.6,8.7,1.5,17.5,2.5,19.7,2.6,14.9,2.6,14,2.2,3.2,1.1,2.3,0.8,55873,3925,66777,3084
"Geary County, Kansas",12866,404,7.2,1.7,2.8,1.1,9.5,2.2,11.5,2.2,16.2,2.6,25.1,3.4,12.2,2.2,10.5,1.9,4.5,1.3,0.6,0.4,52019,3581,60587,2875
"Gove County, Kansas",1260,114,4.6,1.6,4.5,2.3,11.2,3,9.9,3,14.7,2.7,21.3,4.2,11.6,2.6,13.2,3.4,6.4,3.2,2.5,1.3,53906,5318,69211,5440
"Graham County, Kansas",1252,58,10.1,3.9,2.7,1.3,15.8,3.8,11.9,4.1,21,4.4,19.5,4.7,7.8,3.4,8.4,3.6,1.6,1.1,1.1,1.4,40890,3367,51395,5042
"Grant County, Kansas",2561,126,8.5,4.4,1.2,1.4,9.2,4.7,13,6.2,7.6,3.1,15.5,5.9,16.2,5.3,16.4,6.9,8.1,3.6,4.5,3.1,60625,29159,85409,15266
"Gray County, Kansas",2150,73,2,1.2,0.9,0.7,5.2,1.8,10,2.9,12.3,2.7,24.2,3.7,13.6,3.4,22.3,3.7,5,1.9,4.5,1.6,70457,3170,86088,5343
"Greeley County, Kansas",491,65,2.9,2.2,4.9,3.2,11.8,7.1,9.8,5.1,15.5,7.9,31.8,9,9.4,4.6,9,4.5,2.4,1.8,2.6,2.6,53750,4216,63425,8531
"Greenwood County, Kansas",2695,157,6.8,2.2,6.6,2.1,10.8,2.7,15,2.9,16.4,3.2,16.4,2.7,9.6,2.2,12.2,2.3,4.2,1.8,2.1,0.8,43320,2874,63380,5367
"Hamilton County, Kansas",818,111,3.8,3.7,4,3.2,10,3.6,15.4,7,19.7,6.2,24.2,7.3,10.1,4.1,8.6,3.2,4,2.9,0.1,0.4,44894,6292,56658,5603
"Harper County, Kansas",2367,113,6.8,2.2,5.6,2,8,2.4,12.3,3.2,18,3.4,24.1,3.9,11.1,2.4,8.2,1.9,2.2,1.2,3.7,1.4,49283,3601,61867,4722
"Harvey County, Kansas",13396,248,4.7,1.6,4.6,1.3,7.6,1.6,8.1,1.7,16,2.1,24.8,2.9,12.8,2.4,13.9,2.1,4.9,1.4,2.6,1.1,58782,3546,72366,3814
"Haskell County, Kansas",1401,61,5.7,2.3,2.6,1.9,6.6,2.8,9.6,3.5,21.1,5.9,22.9,4.8,6.6,2.4,13.8,4,4.3,2.2,6.9,2.6,54638,5141,84326,14033
"Hodgeman County, Kansas",790,67,2.7,2.1,3.7,2,8.4,3.2,18.1,6,9.9,3.9,16.7,5.4,15.3,4.7,21.1,6.1,3.3,2.1,0.9,0.7,60703,9898,69145,6325
"Jackson County, Kansas",5429,133,5.7,1.8,3.5,1.1,8.8,1.8,9.4,1.8,12.4,2.1,23.7,3.5,15.5,2.5,13.6,2.2,4.3,1.7,3.2,1.5,59686,2321,70978,3583
"Jefferson County, Kansas",7619,160,3,1.1,3.1,1.2,8.1,2,7.6,1.7,11.6,1.9,20.8,2.7,17,2.4,17.3,2.8,7.7,1.7,3.7,1.3,67429,4980,82848,4638
"Jewell County, Kansas",1386,74,6.6,2.1,6.2,2,20.6,4.3,13.6,3.2,14.6,3.1,14.4,3,12.6,2.5,7.1,2.9,2.2,1.3,2.1,1.3,38188,4324,57858,8738
"Johnson County, Kansas",233599,941,2.4,0.3,1.9,0.2,4.4,0.3,6,0.4,9.6,0.4,16,0.6,14.5,0.5,20.3,0.6,11.1,0.4,13.9,0.5,91650,1194,121756,1606
"Kearny County, Kansas",1270,87,4.5,3.2,4.5,3.5,7.4,4.4,13.4,5.1,25.4,7,15.2,4.5,9.5,4.1,11.7,4.4,7,4.4,1.4,1.7,46464,3845,63826,7357
"Kingman County, Kansas",3253,131,2.8,1.2,3.5,1.7,10,2.5,10.9,2.4,14.7,2.7,19.7,3.5,14.4,2.9,15.8,3.9,2.8,1.7,5.5,2.2,57304,6215,79877,7706
"Kiowa County, Kansas",975,74,3.2,1.8,5.2,1.8,12,3.1,8.9,2.8,16.6,4,25,4.1,14.6,4.2,9.6,2.8,2.6,1.6,2.3,1,53107,4134,63602,4884
"Labette County, Kansas",8270,243,4.9,1.3,6.6,1.6,13.5,2.3,13,2.3,14.4,2,21,2.5,12,1.8,10.8,1.8,1.3,0.6,2.4,0.8,47922,3014,59316,3111
"Lane County, Kansas",737,102,11,5.5,8.5,4.2,10.3,4.6,9.9,5.3,15.1,5.4,14.8,4.9,13.3,4.5,12.2,4.9,0.9,0.8,3.9,2.5,41318,10348,57755,7138
"Leavenworth County, Kansas",27645,470,4.1,0.9,2.6,0.6,6.8,1.2,8.1,1.3,10.6,1.5,16.9,1.7,16.7,1.6,20.2,1.9,8.4,1,5.6,1,76307,2986,90839,4430
"Lincoln County, Kansas",1305,79,7.1,3.6,5.7,2.6,8.5,2.8,13.2,3.8,19.8,4.5,15.2,3.3,14.5,3.6,12.8,3.8,2,1.3,1.3,1.2,46523,4490,59741,5106
"Linn County, Kansas",4509,187,9.6,2.2,6.2,1.7,12,3.7,8.1,2.2,14.9,2.9,15.8,2,13.3,2.9,13.4,3.9,2.4,1.3,4.3,1.8,48325,6682,67998,5191
"Logan County, Kansas",1144,77,8.6,4.4,3.8,1.6,10.1,4.1,12.8,4.5,13.4,4.4,21.3,4.6,11.5,3.4,10.8,4,4,2.8,3.7,2.8,51136,6450,67128,7866
"Lyon County, Kansas",13561,349,7,1.6,5.4,1.7,12.2,2.2,12.1,2.1,13.1,2.3,19.7,2.4,14.9,2,9.9,1.4,3.3,1,2.4,0.7,50141,2915,65548,4309
"McPherson County, Kansas",12479,253,6.1,1.6,3.3,1,6,1.3,11.3,1.7,15.9,2,20.5,2.3,13.7,2.1,14.4,2,4.7,1.2,4.2,1.2,59928,3386,73832,3490
"Marion County, Kansas",4838,166,4.8,1.5,3.6,1.1,11.5,1.9,10.7,1.5,18.5,2.8,22.4,2.6,12.9,2,11.7,1.9,1.9,0.9,2.1,0.8,50816,2195,63574,3457
"Marshall County, Kansas",4128,132,4,1.4,4.7,2.1,10.4,2.5,12.3,2.6,15.8,2.5,21.7,3.1,13.2,2.3,12.1,2.5,3,1,3,1,52293,3009,66844,3905
"Meade County, Kansas",1715,75,3.3,1.7,1.8,1.7,11.3,3.7,10.4,3.5,13.4,3.9,24.1,5,16.9,4.1,12.1,3.4,2.4,1.4,4.2,2,56817,3023,75768,7495
"Miami County, Kansas",13000,249,4.1,1.2,3.5,1.4,5.8,1.5,8.8,2.2,8.3,1.5,18.7,2.3,17.6,2.5,20.2,2.5,6.6,1.3,6.4,1.3,75635,2980,91909,5323
"Mitchell County, Kansas",2593,148,8.3,3.4,1.9,1.3,10.4,2.6,11.9,3.5,20.4,4.4,22.8,3.8,12.8,3.8,5.3,2,3.7,2.1,2.6,1.8,47375,3647,59577,5699
"Montgomery County, Kansas",13767,318,7.7,1.5,6.2,1.3,14,2,11.8,1.7,14.5,1.9,21,1.9,9.9,1.4,9.3,1.4,3,0.9,2.5,0.9,45288,2962,59567,3164
"Morris County, Kansas",2344,117,4.2,2.1,3.9,1.6,12.9,2.5,12.7,2.9,13,2.8,20.1,3.3,11.5,2.6,15,3,2.3,1.2,4.3,1.9,52792,4567,69589,5386
"Morton County, Kansas",1036,101,9.6,4.2,4.8,3.4,12.4,6,15,5.9,14.9,7.7,16.4,5.2,9.7,4.2,12.2,5.8,3.1,3,2,2.7,41866,7672,57794,8106
"Nemaha County, Kansas",4069,124,2.8,1.1,3.8,1.5,11.6,2.9,10.9,2.5,14.2,2.8,17.9,2.8,13.8,2.7,15.4,2.6,6.4,2,3.2,1.1,61382,6550,78586,6995
"Neosho County, Kansas",6462,191,6.6,2.1,4.4,1.4,13.6,3,11.6,3.1,14.2,2.8,22.7,3.6,11.8,2.8,10.3,2.4,3.3,1.1,1.5,1,49493,5045,59934,3663
"Ness County, Kansas",1260,76,4.8,2.3,6.5,2.4,6.9,2.5,10.1,2.5,15.6,3,19.9,3.6,13.5,4.4,14.8,3.7,5.3,2.7,2.5,1.6,57222,5835,71549,7196
